,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
340,Maple Donut,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Bleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, dextrose, dried whey, nonfat dry milk, dried egg yolks, leavening, salt, defatted soy flour, potato flour, mono- and diglycerides, spice, guar gum, natural and artificial flavors, yellow 5 Lake, yellow 6 Lake, water, icing, palm oil, maple extract (alcohol, sugar, maple syrup, caramel color, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",290.0,8.0,3.0,53.0
341,Cinnamon Sugar Donut,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Donut ingredients: Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, alt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Topping ingredients: sugar, cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",380.0,21.0,4.0,44.0
342,Make-Your-Own Mongolian BBQ,"Mongolian stir-fry with choice of protein, noodles and vegetables",[Placeholder] - all major allergens;,-1.0,-1.0,-1.0,-1.0
343,New England Clam Chowder,House-made clam chowder with bits of bacon,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon",193.73,9.54,8.0,16.65
344,Butternut Squash Lentil Soup,"Fresh butternut squash simmered with lentils, tomatoes, and spices","Water, Butternut Squash, Swiss Chard, Tomato, Yellow Onion, Lentil, Modified Corn Starch,  Jalapeno, Modified Food Starch (Corn), Celery, Canola/Olive Oil Blend, Sugar, Garlic, Salt, Gluten-Free Vegetable Soup Base, Jalapeno Pepper, Apple Cider Vinegar, Ground Cumin, Lemon Juice, Ground Paprika, Ground Cinnamon, Ground Coriander",103.22,2.46,3.7,17.97
345,Tri-Color Quinoa and Kale Salad,A colorful salad made with fair trade quinoa,,158.0,9.0,4.0,17.0
346,New York Chicken & Walnut Waldorf Salad,"Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.","Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt",177.7,12.45,6.68,11.42
347,Classic Potato Salad,,,230.0,12.0,3.0,28.0
348,Sliced Turkey Breast,,,89.0,1.0,20.0,2.0
349,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
350,Deli Bar,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,-1.0,-1.0,-1.0,-1.0
351,Raspberry Swirl Cheese Cake Bars,"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish","RASPBERRY SWIRL CHEESECAKE BAR (Cream cheese [pasteurized cultured milk and cream, salt, stabilizers {xanthan and/or carob bean and/or guar gums}], pure cane sugar, eggs, sour cream [cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate], vanilla extract, crumbs [graham cracker flour, enriched wheat flour {wheat flour, enriched with niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid}, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening {sodium bicarbonate, sodium acid pyrophosphate, corn starch}, salt, artificial color {yellow 5 and yellow 6}, natural flavor, soy lecithin], butter [pasteurized cream, natural flavors], raspberry filling [water, high fructose corn syrup, red raspberries, sugar, modified corn starch. Contains 2% or less of citric acid, natural flavor, lemon juice, potassium sorbate, salt, FD&C red #40]. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish)",312.0,20.8,4.0,26.4
352,Assorted Cookies,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",400.0,19.0,4.0,55.0
353,Chicken Tenders,Deep-fried until crispy and golden brown,"Breaded chicken tenders (water, seasoning [salt, spices, sugar, natural flavors, maltodextrin, celery seed, buttermilk powder], rice starch, sodium bicarbonate. Breaded, battered and pre-dusted with wheat flour, water, potato starch, salt, rice, flour, corn starch, leavening, yellow corn flour, garlic powder, spices, citric acid, onion powder, sugar, citric acid, palm oil, natural flavors, xanthan gum. Breading set in vegetable oil), canola oil",369.92,24.63,19.77,16.01
354,Curly Fries,Crispy curly fries lightly seasoned,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)",204.55,13.45,1.68,17.61
355,Teriyaki Tofu,Crispy tofu drizzled in our house lower-sodium Teriyaki sauce. Served with white rice.,"Firm tofu, house low-sodium Teriyaki sauce (less-sodium soy sauce [water, wheat, soybeans, salt, lactic acid, sodium benzoate], beet sugar, light brown beet sugar, pineapple juice [pineapple juice, vitamin C], rice vinegar, corn starch, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], ginger, garlic, pure sesame oil), canola oil, corn starch, fresh Italian parsley",123.16,7.51,4.71,9.55
356,Latin Bar,A latin inspired bar with all items allergy friendly. Served with choice of steamed brown rice or steamed white rice,,-1.0,-1.0,-1.0,-1.0
357,Garlic Onion Chicken,,,,,,
358,Carne Asada,,,150.71,11.69,10.77,1.2
359,Mango Vinaigrette,Sweet and tangy vinaigrette to complement your dish,,120.23,13.03,0.11,2.31
360,Chipotle and Agave Vinaigrette,A sweet and spicy vinaigrette to complement your dish,,145.1,15.39,0.05,2.91
361,Tomatillo and Avocado Salsa,House tomatillo & avocado salsa,,48.0,5.0,0.0,2.0
362,Cheeseburger,"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.","Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)",495.67,32.33,28.01,29.86
363,Buffalo Chickpea Burger,House-made buffalo chickpea patty on a sesame bun,"House-made buffalo chickpea patty (garbanzo beans, quinoa, carrots, Frank`s Red Hot Cayenne pepper sauce [aged Cayenne red peppers, vinegar, water, salt, garlic powder], red bell pepper, thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], Ener-G egg replacer [potato starch, tapioca flour, non-dairy calcium lactate, calcium carbonate, citric acid, carbohydrate gum], green onions, canola/olive oil blend, onion powder, garlic powder, iodized salt, Mediterranean oregano, ground white pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), canola/olive oil blend",833.53,20.05,27.86,139.53
364,Curly Fries,Crispy curly fries lightly seasoned,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)",204.55,13.45,1.68,17.61
365,Ice Cream Sundae Bar,Build your own ice cream sundae with assorted toppings,,,,,
366,Burrito Bar,"Build your own burrito base filled with shredded chicken, cilantro rice, pinto beans, enchilada sauce, sour cream, salsa and cheese",,,,,
367,Butternut Squash Lentil Soup,"Fresh butternut squash simmered with lentils, tomatoes, and spices","Water, Butternut Squash, Swiss Chard, Tomato, Yellow Onion, Lentil, Modified Corn Starch,  Jalapeno, Modified Food Starch (Corn), Celery, Canola/Olive Oil Blend, Sugar, Garlic, Salt, Gluten-Free Vegetable Soup Base, Jalapeno Pepper, Apple Cider Vinegar, Ground Cumin, Lemon Juice, Ground Paprika, Ground Cinnamon, Ground Coriander",103.22,2.46,3.7,17.97
368,New England Clam Chowder,House-made clam chowder with bits of bacon,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon",193.73,9.54,8.0,16.65
369,Tri-Color Quinoa and Kale Salad,A colorful salad made with fair trade quinoa,,158.0,9.0,4.0,17.0
370,New York Chicken & Walnut Waldorf Salad,"Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.","Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt",177.7,12.45,6.68,11.42
371,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
372,Pisto Spread,"Made with tomatoes, eggplant, and bell peppers",,17.94,1.16,0.29,1.83
373,Tomato Phesto with Walnuts,"Tangy tomato sauce featuring Russel Ranch tomatoes, complete with walnuts, jalapeno peppers, and spices.","Canola/olive oil blend, house-made halal roasted tomato sauce (Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar), yellow onion, walnuts, sundried tomatoes, red Fresno pepper, fresh parsley, beet sugar, iodized salt",79.18,8.06,0.59,2.31
374,Carrot Cake,,"Sugar, enriched bleached flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), carrots, eggs vegetable oil (soybean and palm oils), cream cheese, walnuts, crushed pineapple. Contain 2% or less of margarine, modified corn starch, high fructose corn syrup, whey, cinnamon, pecans, corn syrup, salt, leavening, mono- and diglycerides, corn starch, coco processed with alkali, natural and artificial flavors, polysorbate 60, soy lecithin, soy flour",414.12,19.99,4.28,54.26
375,Chocolate Chip Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",400.0,19.0,4.0,55.0
376,Vegan Oatmeal Raisin Cookie,,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda",177.0,6.1,3.0,41.0
377,Build Your Own Omelet,Fluffy omelet with your choice of toppings ,,742.19,66.36,31.16,7.27
378,Breakfast Bar,"Belgian Waffle, Fries Wedges Spicy, Chicken Sausage Patty,Scrambled Eggs.",,685.82,58.42,36.51,4.0
379,"Scrambled Egg Whites, Tofu Scramble and Egg Fried to Order",,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)",177.55,12.48,1.4,14.94
380,House Roasted Salsa,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",,10.15,0.4,0.32,1.6
381,Eggs Fried to Order,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Eggs,71.5,4.75,6.28,0.36
382,Vanilla Chia Seed Pudding with Blueberrries,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds","Coconut milk, chia seeds, beet sugar, imitation vanilla, blueberries, shredded sweetened coconut, blanched slivered almonds",448.79,41.51,5.24,20.46
383,Housemade Granola,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses",360.18,17.33,8.03,47.13
384,Fruit Salad,A delicious and nutritious blend of fresh fruit!,,42.3,0.64,0.49,9.79
385,Oatmeal,Hot old-fashioned rolled oats (may contain wheat/gluten),"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt.",105.04,1.94,3.6,18.85
386,Hard Boiled Eggs,"Cage-free, hard boiled eggs",Cage free eggs,71.5,4.76,6.28,0.36
387,Mini Plain Bagel,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",359.99,1.5,12.99,71.0
388,Zucchini Bread,"(may contain: peanuts, tree nuts)","Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Pure Cane Sugar, Zucchini, Soybean Salad Oil, Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Cinnamon, Salt, Potassium Sorbate",95.21,4.39,1.1,13.18
389,Raspberry Peach Danish,"(may contain: peanuts, tree nuts)","Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Milk, Butter|(Pasteurized Cream [Milk], Natural Flavors), Sugar, Yeast, Salt, Cream Cheese|(Pasteurized Cultured Milk and Cream, Salt, Stabilizers [Xanthan and/or Carob Bean and/or Guar Gums]), Pure Cane Sugar, Raspberries, Water, Eggs, Modified Food Stach, Corn Syrup, Glaze (Dextrose, Fruit Pectin, Fumaric Acid [Fortartness], Sodium Citrate)",180.0,10.0,3.0,18.0
390,Cheeseburger,"Ground beef, grilled and served on a sesame bun with melted American cheese.",,495.67,32.33,28.01,29.86
391,Curry Jackfruit Burger,House made jackfruit burger with a tomato phesto aioli,"Curry jackfruit burger patty (raw jackfruit, garbanzo bean flour [garbanzo beans. Per manufacturer, processed in a facility that also processes wheat/gluten, tree nuts, dairy, egg, soy, and sesame], red onion, fresh cilantro, canola oil, iodized salt, ginger, ground black pepper, thickener [modified cornstarch, rice flour, corn oil. Per manufacturer, made on equipment that also processes soy, wheat, and dairy], dark chili powder, curry powder, turmeric, cumin), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), house tomato phesto"" aioli (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], house tomato ""phesto"" spread [canola/olive oil blend, house-made halal roasted tomato sauce [Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar], yellow onion, walnuts, sundried tomatoes, red Fresno pepper, fresh parsley, beet sugar, iodized salt], lemon zest), lettuce, tomato, canola oil, red onion""",668.85,40.69,12.36,71.53
392,Curly Fries,Crispy curly fries lightly seasoned,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)",204.55,13.45,1.68,17.61
393,Grilled Tri Tip,,,-1.0,-1.0,-1.0,-1.0
394,Sauteed Swiss Chard,Swiss chard sauteed with garlic and champagne vinegar.,,,,,
395,Roasted Potatoes,"Lightly roasted potatoes with salt, pepper and oil.",,,,,
396,Vegetable Medley,"Lightly roasted with salt, pepper and oil.",,,,,
397,Savory White Beans,"White beans with celery, tomatoes, and herbs",,,,,
398,Persian Rice,White rice cooked with Spanish saffron and fresh parsley,,,,,
399,New England Clam Chowder,House-made clam chowder with bits of bacon,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon",193.73,9.54,8.0,16.65
400,Spicy Vegan Chili,,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (contains mushroom), red wine vinegar, salt, dark chili pepper, canola oil, jalapeno, garlic, ground black pepper, cayenne pepper, cumin, red Fresno pepper, Habanero pepper, Serrano pepper, canola/olive oil blend",3086.63,43.42,136.58,590.03
401,Seasonal Student Farm Roasted Vegetable Salad,"House pasta salad featuring roasted student farm vegetables, house tomato vinaigrette and local tochetti pasta","FG CSC Dressing Vinaigrette Tomato Basil (CANOLA/OLIVE OIL BLEND;Vinegar, Rice, Natural;PRECUT, Tomato, Diced, 1/2in;SUGAR;Herb, Basil;SALT;GARLIC;GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);",108.59,4.32,2.59,14.96
402,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
403,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
404,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
405,Deli Bar,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,-1.0,-1.0,-1.0,-1.0
